age,activity_level,breed,color,hair_length,sex,size
0-6 months,High,Affenpinscher,Black,Short,Male,Toy (0-10 lbs.)
6-12 months,Medium,Afghan Hound,"Black with Brown, Red, Golden, Orange or Chestnut",Medium,Female,Small (11-25 lbs.)
1-2 years,Low,Airedale Terrier,"Black with Fawn, Tan or Yellow",Long,,Medium (26-45 lbs.)
2-4 years,,Akbash,Black with Gray or Silver,,,Large (46-70 lbs.)
4-7 years,,Akita,Black with White,,,Extra Large (71-90 lbs.)
7-10 years,,Alaskan Malamute,"Blue, Gray, Salt & Pepper or Silver",,,Giant (91+ lbs.)
10+ years,,American Bulldog,"Blue, Gray, Salt & Pepper or Silver Merle",,,
,,American Eskimo Dog,"Blue, Gray, Salt & Pepper or Silver with Black",,,
,,American Hairless Terrier,"Blue, Gray, Salt & Pepper or Silver with White",,,
,,American Pit Bull Terrier,Brindle,,,
,,American Staffordshire Terrier,Brindle with White,,,
,,American Water Spaniel,Brown or Chocolate,,,
,,Anatolian Shepherd,Brown or Chocolate with Black,,,
,,Australian Cattle Dog,Brown or Chocolate with Tan,,,
,,Australian Kelpie,Brown or Chocolate with White,,,
,,Australian Shepherd,"Chestnut, Golden, Orange or Red",,,
,,Australian Terrier,"Chestnut, Golden, Orange or Red Merle",,,
,,Basenji,"Chestnut, Golden, Orange or Red with Black",,,
,,Basset Griffon Vendeen,"Chestnut, Golden, Orange or Red with White",,,
,,Basset Hound,"Fawn, Tan or Yellow",,,
,,Beagle,"Fawn, Tan or Yellow with Black",,,
,,Bearded Collie,"Fawn, Tan or Yellow with White",,,
,,Beauceron,"Tricolor (Black, Brown and White)",,,
,,Bedlington Terrier,White,,,
,,Belgian Laekenois,White with Black,,,
,,Belgian Malinois,White with Brown or Chocolate,,,
,,Belgian Shepherd,"White with Gray, Blue, Silver, Salt & Pepper",,,
,,Belgian Tervuren,"White with Red, Golden, Orange or Chestnut",,,
,,Bernese Mountain Dog,"White with Tan, Yellow or Fawn",,,
,,Bichon Frise,,,,
,,Black Mouth Cur,,,,
,,Black and Tan Coonhound,,,,
,,Bloodhound,,,,
,,Blue Heeler,,,,
,,Blue Lacy/Texas Lacy,,,,
,,Bluetick Coonhound,,,,
,,Bobtail,,,,
,,Bolognese,,,,
,,Border Collie,,,,
,,Border Terrier,,,,
,,Borzoi,,,,
,,Boston Terrier,,,,
,,Bouvier des Flandres,,,,
,,Boxer,,,,
,,Boykin Spaniel,,,,
,,Briard,,,,
,,Brittany,,,,
,,Brussels Griffon,,,,
,,Bull Terrier,,,,
,,Bulldog,,,,
,,Bullmastiff,,,,
,,Cairn Terrier,,,,
,,Canaan Dog,,,,
,,Canary Dog,,,,
,,Cane Corso,,,,
,,Cardigan Welsh Corgi,,,,
,,Carolina Dog,,,,
,,Catahoula Leopard Dog,,,,
,,Cattle Dog,,,,
,,Cavalier King Charles Spaniel,,,,
,,Chesapeake Bay Retriever,,,,
,,Chihuahua,,,,
,,Chinese Crested,,,,
,,Chow Chow,,,,
,,Clumber Spaniel,,,,
,,Cockapoo,,,,
,,Cocker Spaniel,,,,
,,Collie,,,,
,,Coonhound,,,,
,,Coonhound (Unknown Type),,,,
,,Corgi,,,,
,,Coton de Tulear,,,,
,,Curly-Coated Retriever,,,,
,,Dachshund,,,,
,,Dalmatian,,,,
,,Dandie Dinmont Terrier,,,,
,,Deerhound,,,,
,,Doberman Pinscher,,,,
,,Dogo Argentino,,,,
,,Dogue de Bordeaux,,,,
,,Dutch Shepherd,,,,
,,English (Redtick) Coonhound,,,,
,,English Bulldog,,,,
,,English Mastiff,,,,
,,English Pointer,,,,
,,English Setter,,,,
,,English Sheepdog,,,,
,,English Shepherd,,,,
,,English Springer Spaniel,,,,
,,English Toy Spaniel,,,,
,,Entlebucher,,,,
,,Eskimo Dog,,,,
,,Eskimo Spitz,,,,
,,Feist,,,,
,,Field Spaniel,,,,
,,Fila Brasileiro,,,,
,,Finnish Lapphund,,,,
,,Finnish Spitz,,,,
,,Flat-Coated Retriever,,,,
,,Fox Terrier (Smooth),,,,
,,Fox Terrier (Toy),,,,
,,Fox Terrier (Wirehaired),,,,
,,Foxhound,,,,
,,French Bulldog,,,,
,,French Mastiff,,,,
,,German Pinscher,,,,
,,German Shepherd Dog,,,,
,,German Shorthaired Pointer,,,,
,,German Wirehaired Pointer,,,,
,,Giant Schnauzer,,,,
,,Glen of Imaal Terrier,,,,
,,Golden Retriever,,,,
,,Goldendoodle,,,,
,,Gordon Setter,,,,
,,Great Dane,,,,
,,Great Pyrenees,,,,
,,Greater Swiss Mountain Dog,,,,
,,Greyhound,,,,
,,Halden Hound (Haldenstrover),,,,
,,Harrier,,,,
,,Havanese,,,,
,,Hound (Unknown Type),,,,
,,Hovawart,,,,
,,Hungarian Puli,,,,
,,Hungarian Water Dog,,,,
,,Husky,,,,
,,Ibizan Hound,,,,
,,Irish Setter,,,,
,,Irish Terrier,,,,
,,Irish Water Spaniel,,,,
,,Irish Wolfhound,,,,
,,Italian Greyhound,,,,
,,Italian Spinone,,,,
,,Jack Russell Terrier,,,,
,,Japanese Chin,,,,
,,Jindo,,,,
,,Kai Dog,,,,
,,Karelian Bear Dog,,,,
,,Keeshond,,,,
,,Kerry Blue Terrier,,,,
,,King Charles Spaniel,,,,
,,Kishu,,,,
,,Komondor,,,,
,,Kuvasz,,,,
,,Kyi Leo,,,,
,,Labradoodle,,,,
,,Labrador Retriever,,,,
,,Lakeland Terrier,,,,
,,Lancashire Heeler,,,,
,,Leonberger,,,,
,,Lhasa Apso,,,,
,,L̦wchen,,,,
,,Maltese,,,,
,,Manchester Terrier,,,,
,,Maremma Sheepdog,,,,
,,Mastiff,,,,
,,Mexican Hairless,,,,
,,Miniature Pinscher,,,,
,,Miniature Poodle,,,,
,,Miniature Schnauzer,,,,
,,Mountain Cur,,,,
,,Munsterlander,,,,
,,Neapolitan Mastiff,,,,
,,Newfoundland,,,,
,,Norfolk Terrier,,,,
,,Norwegian Buhund,,,,
,,Norwegian Elkhound,,,,
,,Norwich Terrier,,,,
,,Nova Scotia Duck-Tolling Retriever,,,,
,,Old English Sheepdog,,,,
,,Otterhound,,,,
,,Papillon,,,,
,,Parson Russell Terrier,,,,
,,Patterdale Terrier (Fell Terrier),,,,
,,Pekingese,,,,
,,Pembroke Welsh Corgi,,,,
,,Petit Basset Griffon Vendeen,,,,
,,Pharaoh Hound,,,,
,,Pit Bull Terrier,,,,
,,Plott Hound,,,,
,,Podengo Portugueso,,,,
,,Pointer,,,,
,,Polish Lowland Sheepdog,,,,
,,Pomeranian,,,,
,,Poodle (Miniature),,,,
,,Poodle (Standard),,,,
,,Poodle (Toy or Tea Cup),,,,
,,Portuguese Water Dog,,,,
,,Pug,,,,
,,Puli,,,,
,,Pumi,,,,
,,Presa Canario,,,,
,,Rat Terrier,,,,
,,Redbone Coonhound,,,,
,,Redtick Coonhound,,,,
,,Retriever (Unknown Type),,,,
,,Rhodesian Ridgeback,,,,
,,Rottweiler,,,,
,,Russian Wolfhound,,,,
,,Saluki,,,,
,,Samoyed,,,,
,,Schiller Hound,,,,
,,Schipperke,,,,
,,Schnauzer (Giant),,,,
,,Schnauzer (Miniature),,,,
,,Schnauzer (Standard),,,,
,,"Scottie, Scottish Terrier",,,,
,,Scottish Deerhound,,,,
,,Sealyham Terrier,,,,
,,Setter (Unknown Type),,,,
,,Shar Pei,,,,
,,"Sheltie, Shetland Sheepdog",,,,
,,Shepherd (Unknown Type),,,,
,,Shiba Inu,,,,
,,Shih Tzu,,,,
,,Siberian Husky,,,,
,,Silky Terrier,,,,
,,Skye Terrier,,,,
,,Sloughi,,,,
,,Smooth Fox Terrier,,,,
,,Spaniel (Unknown Type),,,,
,,"Spitz (Unknown Type, Large)",,,,
,,"Spitz (Unknown Type, Medium)",,,,
,,"Spitz (Unknown Type, Small)",,,,
,,Springer Spaniel,,,,
,,St. Bernard,,,,
,,Staffordshire Bull Terrier,,,,
,,Standard Poodle,,,,
,,Standard Schnauzer,,,,
,,Sussex Spaniel,,,,
,,Swedish Vallhund,,,,
,,Tea Cup Poodle,,,,
,,"Terrier (Unknown Type, Medium)",,,,
,,"Terrier (Unknown Type, Small)",,,,
,,Thai Ridgeback,,,,
,,Tibetan Mastiff,,,,
,,Tibetan Spaniel,,,,
,,Tibetan Terrier,,,,
,,Tosa Inu,,,,
,,Toy Fox Terrier,,,,
,,Toy Poodle,,,,
,,Treeing Walker Coonhound,,,,
,,Vizsla,,,,
,,Weimaraner,,,,
,,Welsh Corgi,,,,
,,Welsh Springer Spaniel,,,,
,,Welsh Terrier,,,,
,,"Westie, West Highland White Terrier",,,,
,,Wheaten Terrier,,,,
,,Whippet,,,,
,,Wirehaired Fox Terrier,,,,
,,Wirehaired Pointing Griffon,,,,
,,Wolf Hybrid,,,,
,,Xoloitzcuintle/Mexican Hairless,,,,
,,"Yorkie, Yorkshire Terrier",,,,