age,activity_level,breed,color,crateTrained,currentShots,declawed,goodWithCats,goodWithDogs,goodWithKids,hair_length,houseTrained,microchip,sex,size
0-6 months,High,Abyssinian,Black (All),Yes,Yes,Fully,Yes,Yes,Yes,Hairless,Yes,Yes,Male,Petite
6-12 months,Medium,American Bobtail,Black (Mostly),No,No,Partially,No,No,No,Long,No,No,Female,Average
1-2 years,Low,American Curl,Black with White,Unknown,Unknown,No,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,,Extra Large
2-4 years,,American Shorthair,"Blue, Gray or Silver",,,,,,,Short,,,,
4-7 years,,American Wirehair,"Blue, Gray or Silver (Mostly)",,,,,,,,,,,
7-10 years,,Balinese,"Blue, Gray or Silver Tabby",,,,,,,,,,,
10+ years,,Bengal,Brown or Chocolate,,,,,,,,,,,
,,Birman,Brown or Chocolate (Mostly),,,,,,,,,,,
,,Bombay,Brown or Chocolate Point,,,,,,,,,,,
,,British Shorthair,Brown Tabby,,,,,,,,,,,
,,Burmese,Buff,,,,,,,,,,,
,,Calico,Calico or Dilute Calico,,,,,,,,,,,
,,Chartreux,Cream or Ivory,,,,,,,,,,,
,,Colorpoint Shorthair,Cream or Ivory (Mostly),,,,,,,,,,,
,,Cornish Rex,Fawn or Tan,,,,,,,,,,,
,,Cymric,Fawn or Tan (Mostly),,,,,,,,,,,
,,Devon Rex,Fawn or Tan Tabby,,,,,,,,,,,
,,Domestic Long Hair (DLH),Flame Point,,,,,,,,,,,
,,Domestic Medium Hair (DMH),Lilac Point,,,,,,,,,,,
,,Domestic Short Hair (DSH),Lynx Point,,,,,,,,,,,
,,Egyptian Mau,Orange or Red,,,,,,,,,,,
,,European Burmese,Orange or Red (Mostly),,,,,,,,,,,
,,Exotic,Orange or Red Tabby,,,,,,,,,,,
,,Havana Brown,Seal Point,,,,,,,,,,,
,,Hemingway/Polydactyl,Tortoiseshell,,,,,,,,,,,
,,Himalayan,White,,,,,,,,,,,
,,Japanese Bobtail,White (Mostly),,,,,,,,,,,
,,Javanese,,,,,,,,,,,,
,,Korat,,,,,,,,,,,,
,,LaPerm,,,,,,,,,,,,
,,Maine Coon,,,,,,,,,,,,
,,Manx,,,,,,,,,,,,
,,Munchkin,,,,,,,,,,,,
,,Norwegian Forest Cat,,,,,,,,,,,,
,,Ocicat,,,,,,,,,,,,
,,Oriental,,,,,,,,,,,,
,,Persian,,,,,,,,,,,,
,,Polydactyl/Hemingway,,,,,,,,,,,,
,,RagaMuffin,,,,,,,,,,,,
,,Ragdoll,,,,,,,,,,,,
,,Russian Blue,,,,,,,,,,,,
,,Scottish Fold,,,,,,,,,,,,
,,Selkirk Rex,,,,,,,,,,,,
,,Siamese,,,,,,,,,,,,
,,Siberian,,,,,,,,,,,,
,,Singapura,,,,,,,,,,,,
,,Snowshoe,,,,,,,,,,,,
,,Somali,,,,,,,,,,,,
,,Sphynx,,,,,,,,,,,,
,,Tonkinese,,,,,,,,,,,,
,,Turkish Angora,,,,,,,,,,,,
,,Turkish Van,,,,,,,,,,,,